system:index,MNDWI,year,.geo
0,-0.15380118498088216,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-0.05573895957839159,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-0.06994625768281733,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-0.14477010497110976,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.06937416174690464,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.31734571432049663,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.5694412584345242,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-0.13900125120130394,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-0.15292886248366483,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.08394647001782403,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.006881083930474523,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.08710193962228714,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,-0.015271961465000062,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,-0.012955793878465717,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-0.09425697717113077,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-0.09950045622915767,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,-0.1581625664567548,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,-0.17425742061508864,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,-0.20055638047448124,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,-0.14219525790475238,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,-0.07126228339240875,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
