parcela,año,Especie,fun_group,abundancia,abundancia_std
A1,2005,Anas platyrhynchos,duck_dabb,90,0.009
A1,2005,Aythya ferina,duck_dive,15,0.0015
A1,2005,Himantopus himantopus,wader_mid,20,0.003076923076923077
A1,2005,Limosa limosa,wader_mid,1,3.3333333333333335e-5
A1,2005,Oxyura leucocephala,duck_dive,1,0.0031446540880503146
A1,2005,Phoenicopterus roseus,wader_deep,230,0.006547297104956019
A1,2005,Spatula clypeata,duck_dabb,50,0.001
A1,2006,Anas platyrhynchos,duck_dabb,12,0.0012
A1,2006,Anser anser,grazer,9,2.0454545454545454e-4
A1,2006,Himantopus himantopus,wader_mid,10,0.0015384615384615385
A1,2006,Phoenicopterus roseus,wader_deep,300,0.008539952745594808
A1,2006,Platalea leucorodia,wader_deep,10,0.022123893805309734
A1,2006,Recurvirostra avosetta,wader_mid,210,0.01707317073170732
A1,2007,Actitis hypoleucos,wader_shall,1,0.05555555555555555
A1,2007,Anas platyrhynchos,duck_dabb,114,0.0114
A1,2007,Aythya ferina,duck_dive,20,0.002
A1,2007,Gallinago gallinago,wader_shall,2,0.003169572107765452
A1,2007,Himantopus himantopus,wader_mid,62,0.009538461538461539
A1,2007,Limosa limosa,wader_mid,130,0.004333333333333333
A1,2007,Oxyura leucocephala,duck_dive,27,0.08490566037735849
A1,2007,Phoenicopterus roseus,wader_deep,670,0.019072561131828404
A1,2007,Platalea leucorodia,wader_deep,54,0.11946902654867257
A1,2007,Recurvirostra avosetta,wader_mid,267,0.02170731707317073
A1,2007,Spatula clypeata,duck_dabb,517,0.01034
A1,2008,Calidris alpina,wader_shall,1200,0.044444444444444446
A1,2008,Himantopus himantopus,wader_mid,135,0.02076923076923077
A1,2008,Limosa lapponica,wader_shall,3,0.010452961672473868
A1,2008,Limosa limosa,wader_mid,24000,0.8
A1,2008,Numenius arquata,wader_mid,22,0.09565217391304348
A1,2008,Phoenicopterus roseus,wader_deep,10,2.846650915198269e-4
A1,2008,Platalea leucorodia,wader_deep,4,0.008849557522123894
A1,2008,Pluvialis squatarola,wader_shall,130,0.21739130434782608
A1,2008,Recurvirostra avosetta,wader_mid,890,0.07235772357723577
A1,2008,Spatula clypeata,duck_dabb,1,2e-5
A1,2008,Tadorna tadorna,duck_dabb,97,0.009326923076923076
A1,2009,Anas acuta,duck_dabb,108,0.0021176470588235292
A1,2009,Anas crecca,duck_dabb,852,0.0426
A1,2009,Anas platyrhynchos,duck_dabb,752,0.0752
