parcela,año,valor_medio_MNDWI,Ratio_Inundacion_Total,count_seco,count_vegetal,count_verde,count_azul,ratio_seco,ratio_vegetal,ratio_verde,ratio_azul
Guadiamar encauzado,2005,-0.3134660015327551,0.0044591484464902185,6331,590,31,0,0.9106731875719217,0.08486766398158803,0.0044591484464902185,0
Lucios FAO,2005,0.49294588138978873,0.6756352765321375,122,95,131,321,0.18236173393124067,0.14200298953662183,0.19581464872944693,0.4798206278026906
Lucio del Lobo Grande,2005,0.7592318795410661,0.8678943154523618,94,71,75,1009,0.07526020816653323,0.05684547638110488,0.0600480384307446,0.8078462770216173
Marisma gallega,2005,-0.38059356891206025,0,24105,2,0,0,0.9999170365454018,8.296345459824948e-5,0,0
Laguna de los Mimbrales,2005,-0.4518734480106386,0,13,0,0,0,1,0,0,0
Laguna de Santa Olalla,2005,-0.02336241736048083,0.29777070063694266,330,111,110,77,0.5254777070063694,0.1767515923566879,0.1751592356687898,0.12261146496815287
Caracoles Oeste,2005,-0.43631093376100344,0,19926,0,0,0,1,0,0,0
Lucio del Cuquero Grande,2005,0.7834375067345603,0.9227246708643388,89,46,88,1524,0.05094447624499141,0.02633085289066972,0.05037206639954207,0.8723526044647968
Esparragosilla,2005,0.38155234657238946,0.5242819843342037,753,158,153,851,0.3932114882506527,0.0825065274151436,0.07989556135770234,0.4443864229765013
Gaveta 1,2005,0.6807193141038728,0.8024948024948025,242,138,164,1380,0.1257796257796258,0.07172557172557173,0.08523908523908524,0.7172557172557172
Arrozal del italiano,2005,-0.26594686178931,2.3592324630386914e-4,12709,4,3,0,0.999449512425291,3.1456432840515884e-4,2.3592324630386914e-4,0
Lucio del Cuquero Chico,2005,-0.33092886754690154,0.023339557215257403,6978,345,124,51,0.9306481728460922,0.046012269938650305,0.016537743398239532,0.006801813817017871
Pajas (Acebuche),2005,-0.6008064638004702,0,230,0,0,0,1,0,0,0
La Rocina,2005,-0.2019340736811843,0.12413793103448276,347,34,52,2,0.7977011494252874,0.07816091954022988,0.11954022988505747,0.004597701149425287
Hato Blanco nuevo,2005,-0.27452222443422797,0,15984,7,0,0,0.9995622537677443,4.377462322556438e-4,0,0
Hato Blanco viejo,2005,-0.2055487169239932,0.028646639826571695,5983,290,93,92,0.9264478166615051,0.0449055435119232,0.014400743264168472,0.01424589656240322
Caracoles Este,2005,-0.3903545535916803,0,17801,0,0,0,1,0,0,0
