parcela,año,Especie,fun_group,abundancia,abundancia_std,area_total_ha,area_somera_ha,area_profunda_ha
A1,2005,Anas platyrhynchos,duck_dabb,90,0.009,55.89,5.94,49.95
A1,2005,Aythya ferina,duck_dive,15,0.0015,55.89,5.94,49.95
A1,2005,Himantopus himantopus,wader_mid,20,0.00307692307692307,55.89,5.94,49.95
A1,2005,Limosa limosa,wader_mid,1,3.3333333333333335e-5,55.89,5.94,49.95
A1,2005,Oxyura leucocephala,duck_dive,1,0.00314465408805031,55.89,5.94,49.95
A1,2005,Phoenicopterus roseus,wader_deep,230,0.00654729710495601,55.89,5.94,49.95
A1,2005,Spatula clypeata,duck_dabb,50,0.001,55.89,5.94,49.95
A1,2006,Anas platyrhynchos,duck_dabb,12,0.0012,44.73,5.49,39.24
A1,2006,Anser anser,grazer,9,2.0454545454545457e-4,44.73,5.49,39.24
A1,2006,Himantopus himantopus,wader_mid,10,0.00153846153846153,44.73,5.49,39.24
A1,2006,Phoenicopterus roseus,wader_deep,300,0.0085399527455948,44.73,5.49,39.24
A1,2006,Platalea leucorodia,wader_deep,10,0.02212389380530973,44.73,5.49,39.24
A1,2006,Recurvirostra avosetta,wader_mid,210,0.01707317073170732,44.73,5.49,39.24
A1,2007,Actitis hypoleucos,wader_shall,1,0.05555555555555555,52.02,8.1,43.92
A1,2007,Anas platyrhynchos,duck_dabb,114,0.0114,52.02,8.1,43.92
A1,2007,Aythya ferina,duck_dive,20,0.002,52.02,8.1,43.92
A1,2007,Gallinago gallinago,wader_shall,2,0.00316957210776545,52.02,8.1,43.92
A1,2007,Himantopus himantopus,wader_mid,62,0.00953846153846153,52.02,8.1,43.92
A1,2007,Limosa limosa,wader_mid,130,0.00433333333333333,52.02,8.1,43.92
A1,2007,Oxyura leucocephala,duck_dive,27,0.08490566037735849,52.02,8.1,43.92
A1,2007,Phoenicopterus roseus,wader_deep,670,0.0190725611318284,52.02,8.1,43.92
A1,2007,Platalea leucorodia,wader_deep,54,0.11946902654867256,52.02,8.1,43.92
A1,2007,Recurvirostra avosetta,wader_mid,267,0.02170731707317073,52.02,8.1,43.92
